psgc_id,name,correspondence_code,geographic_level,old_names,city_class,income_classification,settlement_type,population,,barangay_status
1300000000,National Capital Region (NCR),130000000,Reg,,,,,"  13,484,462 ",,
1380100000,City of Caloocan,137501000,City,,HUC,1st,,"  1,661,584 ",,
1380200000,City of Las Piñas,137601000,City,,HUC,1st,,"  606,293 ",,
1380300000,City of Makati,137602000,City,,HUC,1st,,"  629,616 ",17/,
1380400000,City of Malabon,137502000,City,,HUC,1st,,"  380,522 ",,
1380500000,City of Mandaluyong,137401000,City,,HUC,1st,,"  425,758 ",,
1380600000,City of Manila,133900000,City,,HUC,1st,,"  1,846,513 ",,
1380601000,Tondo I/II,133901000,SubMun,,,,,"  654,220 ",,
1380602000,Binondo,133902000,SubMun,,,,,"  20,491 ",,
1380603000,Quiapo,133903000,SubMun,,,,,"  29,846 ",,
1380604000,San Nicolas,133904000,SubMun,,,,,"  42,957 ",,
1380605000,Santa Cruz,133905000,SubMun,,,,,"  126,735 ",,
1380606000,Sampaloc,133906000,SubMun,,,,,"  388,305 ",,
1380607000,San Miguel,133907000,SubMun,,,,,"  18,599 ",,
1380608000,Ermita,133908000,SubMun,,,,,"  19,189 ",,
1380609000,Intramuros,133909000,SubMun,,,,,"  6,103 ",,
1380610000,Malate,133910000,SubMun,,,,,"  99,257 ",,
1380611000,Paco,133911000,SubMun,,,,,"  79,839 ",,
1380612000,Pandacan,133912000,SubMun,,,,,"  84,769 ",,
1380613000,Port Area,133913000,SubMun,,,,,"  72,605 ",,
1380614000,Santa Ana,133914000,SubMun,,,,,"  203,598 ",,
1380700000,City of Marikina,137402000,City,,HUC,1st,,"  456,059 ",,
1380800000,City of Muntinlupa,137603000,City,,HUC,1st,,"  543,445 ",,
1380900000,City of Navotas,137503000,City,,HUC,1st,,"  247,543 ",,
1381000000,City of Parañaque,137604000,City,,HUC,1st,,"  689,992 ",,
1381100000,Pasay City,137605000,City,,HUC,1st,,"  440,656 ",,
1381200000,City of Pasig,137403000,City,,HUC,1st,,"  803,159 ",,
1381300000,Quezon City,137404000,City,,HUC,1st,,"  2,960,048 ",,
1381400000,City of San Juan,137405000,City,,HUC,1st,,"  126,347 ",,
1381500000,City of Taguig,137607000,City,,HUC,1st,,"  886,722 ",18/,
1381600000,City of Valenzuela,137504000,City,,HUC,1st,,"  714,978 ",,
1381701000,Pateros,137606000,Mun,,,1st,,"  65,227 ",,
1400000000,Cordillera Administrative Region (CAR),140000000,Reg,,,,,"  1,797,660 ",,
1400100000,Abra,140100000,Prov,,,1st,,"  250,985 ",,
1400101000,Bangued ,140101000,Mun,,,1st,,"  50,382 ",,Capital
1400102000,Boliney,140102000,Mun,,,3rd,,"  4,551 ",,
1400103000,Bucay,140103000,Mun,,,3rd,,"  17,953 ",,
1400104000,Bucloc,140104000,Mun,,,4th,,"  2,395 ",,
1400105000,Daguioman,140105000,Mun,,,4th,,"  2,019 ",,
1400106000,Danglas,140106000,Mun,,,3rd,,"  4,074 ",,
1400107000,Dolores,140107000,Mun,,,3rd,,"  11,512 ",,
1400108000,La Paz,140108000,Mun,,,4th,,"  16,493 ",,
1400109000,Lacub,140109000,Mun,,,2nd,,"  3,612 ",,
1400110000,Lagangilang,140110000,Mun,,,3rd,,"  14,914 ",,
1400111000,Lagayan,140111000,Mun,,,4th,,"  4,488 ",,
1400112000,Langiden,140112000,Mun,,,4th,,"  3,576 ",,
1400113000,Licuan-Baay,140113000,Mun,Licuan,,3rd,,"  4,566 ",,
1400114000,Luba,140114000,Mun,,,1st,,"  6,518 ",,
1400115000,Malibcong,140115000,Mun,,,3rd,,"  4,027 ",,
1400116000,Manabo,140116000,Mun,,,3rd,,"  11,611 ",,
1400117000,Peñarrubia,140117000,Mun,,,4th,,"  6,951 ",,
1400118000,Pidigan,140118000,Mun,,,3rd,,"  12,475 ",,
1400119000,Pilar,140119000,Mun,,,1st,,"  10,146 ",,
1400120000,Sallapadan,140120000,Mun,,,4th,,"  6,389 ",,
1400121000,San Isidro,140121000,Mun,,,2nd,,"  4,745 ",,
1400122000,San Juan,140122000,Mun,,,4th,,"  10,688 ",,
1400123000,San Quintin,140123000,Mun,,,3rd,,"  5,705 ",,
1400124000,Tayum,140124000,Mun,,,1st,,"  14,869 ",,
1400125000,Tineg,140125000,Mun,,,1st,,"  4,977 ",,
1400126000,Tubo,140126000,Mun,,,2nd,,"  5,674 ",,
1400127000,Villaviciosa,140127000,Mun,,,1st,,"  5,675 ",,
1401100000,Benguet,141100000,Prov,,,1st,,"  460,683 ",(excluding BAGUIO CITY) ,
1401101000,Atok,141101000,Mun,,,3rd,,"  19,218 ",,
1401103000,Bakun,141103000,Mun,,,3rd,,"  14,535 ",,
1401104000,Bokod,141104000,Mun,,,2nd,,"  14,435 ",,
1401105000,Buguias,141105000,Mun,,,1st,,"  44,877 ",,
1401106000,Itogon,141106000,Mun,,,1st,,"  61,498 ",,
1401107000,Kabayan,141107000,Mun,,,3rd,,"  15,806 ",,
1401108000,Kapangan,141108000,Mun,,,3rd,,"  19,297 ",,
1401109000,Kibungan,141109000,Mun,,,3rd,,"  17,051 ",,
1401110000,La Trinidad ,141110000,Mun,,,1st,,"  137,404 ",,Capital
1401111000,Mankayan,141111000,Mun,,,2nd*,,"  37,233 ",,
1401112000,Sablan,141112000,Mun,,,4th,,"  11,588 ",,
1401113000,Tuba,141113000,Mun,,,1st,,"  48,312 ",,
1401114000,Tublay,141114000,Mun,,,4th,,"  19,429 ",,
1402700000,Ifugao,142700000,Prov,,,2nd,,"  207,498 ",,
1402701000,Banaue,142701000,Mun,,,3rd,,"  20,652 ",,
1402702000,Hungduan,142702000,Mun,,,3rd,,"  8,866 ",,
1402703000,Kiangan,142703000,Mun,,,3rd,,"  17,691 ",,
1402704000,Lagawe ,142704000,Mun,,,3rd,,"  18,876 ",,Capital
1402705000,Lamut,142705000,Mun,,,2nd,,"  26,235 ",,
1402706000,Mayoyao,142706000,Mun,,,3rd,,"  15,621 ",,
1402707000,Alfonso Lista,142707000,Mun,Potia,,1st,,"  34,061 ",,
1402708000,Aguinaldo,142708000,Mun,,,1st,,"  21,128 ",,
1402709000,Hingyon,142709000,Mun,,,5th,,"  9,930 ",,
1402710000,Tinoc,142710000,Mun,,,3rd,,"  18,475 ",,
1402711000,Asipulo,142711000,Mun,,,4th,,"  15,963 ",,
1403200000,Kalinga,143200000,Prov,,,2nd,,"  229,570 ",,
1403201000,Balbalan,143201000,Mun,,,1st,,"  12,914 ",,
1403206000,Lubuagan,143206000,Mun,,,4th,,"  9,323 ",,
1403208000,Pasil,143208000,Mun,,,4th,,"  10,577 ",,
1403209000,Pinukpuk,143209000,Mun,,,1st,,"  34,275 ",,
1403211000,Rizal,143211000,Mun,Liwan,,3rd,,"  19,554 ",,
1403213000,City of Tabuk ,143213000,City,,CC,1st,,"  121,033 ",,Capital
1403214000,Tanudan,143214000,Mun,,,3rd,,"  8,746 ",,
1403215000,Tinglayan,143215000,Mun,,,3rd,,"  13,148 ",,
1404400000,Mountain Province,144400000,Prov,,,2nd,,"  158,200 ",,
1404401000,Barlig,144401000,Mun,,,4th,,"  4,796 ",,
1404402000,Bauko,144402000,Mun,,,2nd,,"  32,021 ",,
1404403000,Besao,144403000,Mun,,,4th,,"  6,873 ",,
1404404000,Bontoc ,144404000,Mun,,,1st,,"  24,104 ",,Capital
1404405000,Natonin,144405000,Mun,,,3rd,,"  10,339 ",,
1404406000,Paracelis,144406000,Mun,,,1st,,"  31,168 ",,
1404407000,Sabangan,144407000,Mun,,,4th,,"  9,621 ",,
1404408000,Sadanga,144408000,Mun,,,5th,,"  8,427 ",,
1404409000,Sagada,144409000,Mun,,,4th,,"  11,510 ",,
1404410000,Tadian,144410000,Mun,,,3rd,,"  19,341 ",,
1408100000,Apayao,148100000,Prov,,,2nd,,"  124,366 ",,
1408101000,Calanasan,148101000,Mun,Bayag,,1st,,"  12,550 ",,
1408102000,Conner,148102000,Mun,,,1st,,"  27,552 ",,
1408103000,Flora,148103000,Mun,,,2nd,,"  17,944 ",,
1408104000,Kabugao ,148104000,Mun,,,1st,,"  16,215 ",,Capital
1408105000,Luna,148105000,Mun,,,1st,,"  21,297 ",,
1408106000,Pudtol,148106000,Mun,,,2nd,,"  15,491 ",,
1408107000,Santa Marcela,148107000,Mun,,,4th,,"  13,317 ",,
1430300000,City of Baguio,141102000,City,,HUC,1st,,"  366,358 ",,
0100000000,Region I (Ilocos Region),010000000,Reg,,,,,"  5,301,139 ",,
0102800000,Ilocos Norte,012800000,Prov,,,1st,,"  609,588 ",,
0102801000,Adams,012801000,Mun,,,4th,,"  2,189 ",,
0102802000,Bacarra,012802000,Mun,,,2nd,,"  33,496 ",,
0102803000,Badoc,012803000,Mun,,,1st,,"  32,530 ",,
0102804000,Bangui,012804000,Mun,,,2nd,,"  15,019 ",,
0102805000,City of Batac,012805000,City,,CC,3rd,,"  55,484 ",,
0102806000,Burgos,012806000,Mun,,,3rd,,"  10,759 ",,
0102807000,Carasi,012807000,Mun,,,5th,,"  1,607 ",,
0102808000,Currimao,012808000,Mun,,,3rd,,"  12,215 ",,
0102809000,Dingras,012809000,Mun,,,1st,,"  40,127 ",,
0102810000,Dumalneg,012810000,Mun,,,4th,,"  3,087 ",,
0102811000,Banna,012811000,Mun,Espiritu,,1st,,"  19,297 ",,
0102812000,City of Laoag ,012812000,City,,CC,3rd,,"  111,651 ",,Capital
0102813000,Marcos,012813000,Mun,,,2nd,,"  18,010 ",,
